レースID(新),レース名,発走時刻,年限定,芝ダ,距離,枠番,馬番,馬記号,馬名,性,齢,騎手,斤量,キャリア(当時/取消等含),マイニング値,マイニング順位,対戦型マイニング値,対戦型マイニング順位,ﾏｲ差,Tﾏ差,指数1,指数2,指数3,指数4,単オッズ,クラス,Ｒ,競走種別C,競走記号コード,着,血統登録番号,重量C,所属,調教師,所属,生産者,産地,種牡馬,母名,母父名
202608220102010502,新馬,12:20,２歳,芝,1500,2,2,, タプティ,牝,2,小沢大仁, 55 ,0,88.65,5,53.0,6, 0.28,13.6,,,,,19.9,新馬,5,11,003,,2024100935,3,(栗),岡田稲男,栗東,日高大洋牧場,日高町,ダノンスマッシュ,パフェムリ,ヴィクトワールピサ
202608220102010503,新馬,12:20,２歳,芝,1500,3,3,, スピカテソーロ,牡,2,丹内祐次, 55 ,0,88.37,1,50.6,9,-0.01,16.0,,,,,8.9,新馬,5,11,003,,2024101273,3,(美),伊藤圭三,美浦,リョーケンファーム,日高町,エピファネイア,チェストケリリー,"Scat Daddy"
202608220102010504,新馬,12:20,２歳,芝,1500,3,4,, カセノメロス,牡,2,横山武史, 55 ,0,88.48,4,66.6,1, 0.11,-2.0,,,,,9.7,新馬,5,11,003,,2024103127,3,(美),鈴木伸尋,美浦,シンユウフアーム,新冠町,スワーヴリチャード,スマイルガール,キズナ
202608220102010505,新馬,12:20,２歳,芝,1500,4,5,, グリーンアイランド,牝,2,武豊, 55 ,0,91.71,8,43.5,10, 3.34,23.1,,,,,10.8,新馬,5,11,003,,2024105384,3,(栗),柴田卓,栗東,田上徹,新ひだか町,キズナ,カーレッサ,"Uncle Mo"
202608220102010506,新馬,12:20,２歳,芝,1500,4,6,, フクノブルースカイ,牡,2,浜中俊, 55 ,0,91.97,10,41.6,11, 3.60,25.0,,,,,10.1,新馬,5,11,003,,2024100340,3,(栗),中尾秀正,栗東,ケイズ,日高町,グレーターロンドン,ブルーエクセル,ロードカナロア
202608220102010507,新馬,12:20,２歳,芝,1500,5,7,, マシュマロデイズ,牝,2,ルメール, 55 ,0,91.32,7,64.6,2, 2.95, 2.0,,,,,4.9,新馬,5,11,003,,2024106580,3,(栗),武英智,栗東,ノーザンファーム,安平町,ホットロッドチャーリー,プロレタリアト,ハーツクライ
202608220102010508,新馬,12:20,２歳,芝,1500,5,8,, ロードリバイバル,牡,2,松山弘平, 55 ,0,91.84,9,59.9,4, 3.47, 6.7,,,,,10.8,新馬,5,11,003,,2024105270,3,(栗),中村直也,栗東,ケイアイファーム,新ひだか町,リオンディーズ,アグアアスール,ロードカナロア
202608220102010509,新馬,12:20,２歳,芝,1500,6,9,, リーベフォール,牡,2,北村友一, 55 ,0,92.09,11,51.8,8, 3.72,14.8,,,,,12.1,新馬,5,11,003,,2024103086,3,(栗),高橋亮,栗東,坂元牧場,新冠町,タニノフランケル,ハナイロコマチ,トビーズコーナー
202608220102010510,新馬,12:20,２歳,芝,1500,6,10,, ブラスセッション,牝,2,横山和生, 55 ,0,88.38,2,52.4,7, 0.01,14.2,,,,,23.7,新馬,5,11,003,,2024105378,3,(美),小野次郎,美浦,千里ファーム,新ひだか町,ダノンプレミアム,ドナパフューム,Bertolini
202608220102010511,新馬,12:20,２歳,芝,1500,7,11,, ツキミ,牝,2,レーン, 55 ,0,91.29,6,54.1,5, 2.92,12.5,,,,,5.3,新馬,5,11,003,,2024106512,3,(栗),清水久詞,栗東,ノーザンファーム,安平町,ビッグアーサー,パンデイア,ディープインパクト
202608220102010512,新馬,12:20,２歳,芝,1500,7,12,, ハヤテノギンジロウ,牡,2,横山琉人, 55 ,0,92.16,12,33.9,13, 3.79,32.7,,,,,21.9,新馬,5,11,003,,2024100086,3,(美),鈴木慎太,美浦,新井弘幸,日高町,マクフィ,ホワイトポピー,スウェプトオーヴァーボード
202608220102010513,新馬,12:20,２歳,芝,1500,8,13,, ジャストピーチー,牝,2,岩田望来, 55 ,0,88.45,3,62.0,3, 0.08, 4.6,,,,,15.3,新馬,5,11,003,,2024102151,3,(美),小島茂之,美浦,HARUNOファーム,浦河町,ストラクター,ラペーシュ,バゴ
202608220102010514,新馬,12:20,２歳,芝,1500,8,14,, ラストフィールド,牝,2,和田陽希,52▲,0,92.43,14,25.0,14, 4.06,41.6,,,,,63.7,新馬,5,11,003,,2024105002,3,(栗),谷潔,栗東,へいはた牧場,新ひだか町,ノーブルミッション,ハイフィールド,マーベラスサンデー
202608220102010601,未勝利,12:50,３歳,芝,2600,1,1,, カイユレ,牝,3,ヘルナン, 55 ,3,165.00,9,19.2,14, 2.86,54.0,,,,,58.8,未勝利,6,12,A03,,2023104947,3,(美),古賀慎明,美浦,富田牧場,浦河町,キタサンブラック,シラバリー,"Street Cry"
202608220102010602,未勝利,12:50,３歳,芝,2600,2,2,, タビニュ,牡,3,池添謙一, 57 ,6,163.26,2,66.3,4, 1.12, 6.9,,,,,10.4,未勝利,6,12,A03,,2023101168,3,(美),松尾卓哉,美浦,ダーレー・ジャパン・ファーム,日高町,バゴ,ミッドサマーコモン,ディープインパクト
202608220102010603,未勝利,12:50,３歳,芝,2600,3,3,, デルマタカチホ,牡,3,河原田菜,53★,3,164.04,3,38.4,11, 1.90,34.8,,,,,33.3,未勝利,6,12,A03,,2023103385,3,(栗),田中克典,栗東,社台ファーム,千歳市,シスキン,クィーンスプマンテ,ジャングルポケット
202608220102010604,未勝利,12:50,３歳,芝,2600,3,4,, ヴィラジョヴィス,牝,3,小林美駒,52▲,10,162.14,1,69.0,3,-1.12, 4.2,,,,,4.1,未勝利,6,12,A03,,2023103901,3,(栗),小栗実,栗東,レイクヴィラファーム,洞爺湖町,ハービンジャー,ベルカプリ,ダイワメジャー
202608220102010605,未勝利,12:50,３歳,芝,2600,4,5,, フィエールシャンテ,牝,3,ナレドゥ, 55 ,6,164.05,4,59.3,5, 1.91,13.9,,,,,9.1,未勝利,6,12,A03,,2023100868,3,(栗),小椋研介,栗東,佐々木康治,日高町,フィエールマン,モルフェオルフェ,オルフェーヴル
202608220102010606,未勝利,12:50,３歳,芝,2600,4,6,, フクチャンブラック,牡,3,松本大輝, 57 ,11,164.52,6,41.8,9, 2.38,31.4,,,,,34.3,未勝利,6,12,A03,,2023103196,3,(栗),高橋康之,栗東,"PRIDE ROCK",新ひだか町,キタサンブラック,アトラクティヴレディ,Teofilo
